PROVIDER_ID,PROVIDER_NAME,NPI,DEA,SPECIALTY_CONCEPT_ID,CARE_SITE_ID,YEAR_OF_BIRTH,GENDER_CONCEPT_ID,PROVIDER_SOURCE_VALUE,SPECIALTY_SOURCE_VALUE,SPECIALTY_SOURCE_CONCEPT_ID,GENDER_SOURCE_VALUE,GENDER_SOURCE_CONCEPT_ID
2,,4336517748,,,16307,,,,,,,
62,,4507566883,,,19295,,,,,,,
122,,7177707234,,,12782,,,,,,,
182,,5511742963,,,11076,,,,,,,
242,,1210528422,,,8612,,,,,,,
302,,1820023661,,,1568,,,,,,,
362,,5233779626,,,3851,,,,,,,
422,,0945141344,,,12782,,,,,,,
482,,1491756202,,,17602,,,,,,,
542,,9269864181,,,10013,,,,,,,
602,,7554627199,,,16298,,,,,,,
662,,7530960043,,,15006,,,,,,,
722,,0685244105,,,14702,,,,,,,
782,,9877737499,,,20833,,,,,,,
842,,0788697815,,,3234,,,,,,,
902,,5174685285,,,9520,,,,,,,
962,,8889843070,,,16410,,,,,,,
1022,,1588324654,,,18777,,,,,,,
1082,,7273194476,,,19295,,,,,,,
1142,,6700186094,,,11852,,,,,,,
1202,,1590708811,,,18201,,,,,,,
1262,,1816073717,,,18812,,,,,,,
1322,,2119753422,,,12015,,,,,,,
1382,,0056747478,,,17449,,,,,,,
1442,,1884617657,,,10466,,,,,,,
1502,,0250410573,,,11718,,,,,,,
1562,,7306284693,,,19113,,,,,,,
1622,,4433268846,,,13851,,,,,,,
1682,,5597165448,,,2951,,,,,,,
1742,,9956086063,,,18657,,,,,,,
1802,,9359545939,,,17770,,,,,,,
1862,,1770967744,,,12301,,,,,,,
1922,,5428085138,,,14083,,,,,,,
1982,,2636970003,,,7605,,,,,,,
2042,,1297840747,,,3312,,,,,,,
2102,,3378726241,,,9752,,,,,,,
2162,,3085457684,,,10143,,,,,,,
2222,,4255299672,,,17020,,,,,,,
2282,,6300609976,,,2291,,,,,,,
2342,,5081350232,,,13462,,,,,,,
2402,,7907710297,,,1254,,,,,,,
2462,,2798847259,,,8754,,,,,,,
2522,,3217120018,,,6428,,,,,,,
2582,,2121480169,,,8871,,,,,,,
2642,,4509027104,,,19851,,,,,,,
2702,,2027350576,,,10540,,,,,,,
2762,,7170324086,,,7605,,,,,,,
2822,,1751150415,,,8151,,,,,,,
2882,,5817083621,,,6414,,,,,,,
2942,,4677107513,,,2396,,,,,,,
3002,,4311655943,,,4648,,,,,,,
3062,,5410179353,,,205,,,,,,,
3122,,3342312017,,,9185,,,,,,,
3182,,8146115381,,,20475,,,,,,,
3242,,4997601506,,,4498,,,,,,,
3302,,2921008227,,,1004,,,,,,,
3362,,2268640819,,,16797,,,,,,,
3422,,4150978244,,,14701,,,,,,,
3482,,8549104285,,,2829,,,,,,,
3542,,9229038929,,,12782,,,,,,,
3602,,3566982082,,,4144,,,,,,,
3662,,4313337190,,,14135,,,,,,,
3722,,6818674060,,,20637,,,,,,,
3782,,4842125612,,,22096,,,,,,,
3842,,1145872856,,,11322,,,,,,,
3902,,6027318647,,,3387,,,,,,,
3962,,9049232973,,,5077,,,,,,,
4022,,5976726122,,,3736,,,,,,,
4082,,0953707085,,,5003,,,,,,,
4142,,4315430663,,,6804,,,,,,,
4202,,2515306478,,,8474,,,,,,,
4262,,9256082376,,,12279,,,,,,,
4322,,9927428573,,,149,,,,,,,
4382,,6333424530,,,13652,,,,,,,
4442,,0692527211,,,21034,,,,,,,
4502,,8355830767,,,6587,,,,,,,
4562,,1111706379,,,13677,,,,,,,
4622,,6436599072,,,12374,,,,,,,
4682,,3269651887,,,9650,,,,,,,
4742,,3581074734,,,12063,,,,,,,
4802,,7790796806,,,20840,,,,,,,
4862,,1924528145,,,15184,,,,,,,
4922,,1415931015,,,9885,,,,,,,
4982,,4845839634,,,16987,,,,,,,
5042,,0991730099,,,13492,,,,,,,
5102,,5896635221,,,10552,,,,,,,
5162,,2903499860,,,8909,,,,,,,
5222,,4277733636,,,11757,,,,,,,
5282,,5684689462,,,14023,,,,,,,
5342,,4556805707,,,10302,,,,,,,
5402,,5478743959,,,6070,,,,,,,
5462,,3149878891,,,10191,,,,,,,
5522,,6466207274,,,14221,,,,,,,
5582,,1281993529,,,13986,,,,,,,
5642,,5791413223,,,8814,,,,,,,
5702,,3646234494,,,15812,,,,,,,
5762,,4212135250,,,7992,,,,,,,
5822,,5263247063,,,21603,,,,,,,
5882,,1615874344,,,6870,,,,,,,
5942,,3286843958,,,16167,,,,,,,
6002,,2886197587,,,1444,,,,,,,
6062,,9221811861,,,1818,,,,,,,
6122,,6962271568,,,10679,,,,,,,
6182,,6236194509,,,1948,,,,,,,
6242,,1504077679,,,16909,,,,,,,
6302,,8033311766,,,317,,,,,,,
6362,,0683079586,,,5807,,,,,,,
6422,,3249231410,,,8886,,,,,,,
6482,,6737332747,,,11792,,,,,,,
6542,,9489647866,,,5438,,,,,,,
6602,,8955014002,,,16505,,,,,,,
6662,,3000085886,,,2155,,,,,,,
6722,,6438208602,,,13824,,,,,,,
6782,,7364332362,,,6906,,,,,,,
6842,,3524499914,,,11161,,,,,,,
6902,,8745836451,,,3536,,,,,,,
6962,,8378488313,,,14312,,,,,,,
7022,,2909588438,,,9001,,,,,,,
7082,,6497932060,,,15307,,,,,,,
7142,,7194974453,,,13444,,,,,,,
7202,,1859604829,,,11441,,,,,,,
7262,,2102557813,,,19829,,,,,,,
7322,,7639590863,,,4455,,,,,,,
7382,,0145590911,,,17286,,,,,,,
7442,,0657524956,,,6354,,,,,,,
7502,,5058198261,,,11354,,,,,,,
7562,,4777357855,,,11915,,,,,,,
7622,,7280546388,,,17798,,,,,,,
7682,,0204869388,,,2559,,,,,,,
7742,,1745577977,,,15798,,,,,,,
7802,,8438144739,,,68,,,,,,,
7862,,5077666232,,,10831,,,,,,,
7922,,3025626593,,,18164,,,,,,,
7982,,9559182142,,,19829,,,,,,,
8042,,5910190746,,,12633,,,,,,,
8102,,5249972294,,,3846,,,,,,,
8162,,4213666964,,,16268,,,,,,,
8222,,1278423332,,,11078,,,,,,,
8282,,4176726953,,,265,,,,,,,
8342,,6493519547,,,3438,,,,,,,
8402,,9000628803,,,8303,,,,,,,
8462,,9724778704,,,16802,,,,,,,
8522,,4919933855,,,1629,,,,,,,
8582,,3013484395,,,10567,,,,,,,
8642,,5401522729,,,14748,,,,,,,
8702,,0724510923,,,4078,,,,,,,
8762,,3100143779,,,3614,,,,,,,
8822,,4864484558,,,2231,,,,,,,
8882,,7886878539,,,1204,,,,,,,
8942,,4314779482,,,14434,,,,,,,
9002,,7259304801,,,18288,,,,,,,
9062,,2919454483,,,4182,,,,,,,
9122,,4270146896,,,16460,,,,,,,
9182,,1415667707,,,1255,,,,,,,
9242,,7009581665,,,17508,,,,,,,
9302,,6936927412,,,13636,,,,,,,
9362,,1013151496,,,21188,,,,,,,
9422,,5727452284,,,15289,,,,,,,
9482,,0094429283,,,11868,,,,,,,
9542,,1378032356,,,1913,,,,,,,
9602,,1134010898,,,21140,,,,,,,
9662,,5944112229,,,3218,,,,,,,
9722,,4437352579,,,20970,,,,,,,
9782,,2681619237,,,21120,,,,,,,
9842,,3896078823,,,12739,,,,,,,
9902,,4263112691,,,9782,,,,,,,
9962,,9352443622,,,7323,,,,,,,
10022,,0132963182,,,3792,,,,,,,
10082,,2991591460,,,15173,,,,,,,
10142,,8541590835,,,609,,,,,,,
10202,,1556013059,,,13026,,,,,,,
10262,,5881394755,,,10688,,,,,,,
10322,,2870862336,,,1184,,,,,,,
10382,,0893980740,,,9041,,,,,,,
10442,,5007721127,,,18599,,,,,,,
10502,,6672497967,,,3342,,,,,,,
10562,,6962810697,,,13197,,,,,,,
10622,,7216510547,,,10477,,,,,,,
10682,,8386928689,,,10144,,,,,,,
10742,,3721771805,,,274,,,,,,,
10802,,8980422894,,,4977,,,,,,,
10862,,6139379751,,,7094,,,,,,,
10922,,5284142128,,,7096,,,,,,,
10982,,0831170027,,,18440,,,,,,,
11042,,4873466642,,,1785,,,,,,,
11102,,5686899505,,,14580,,,,,,,
11162,,9635274451,,,2329,,,,,,,
11222,,5879132666,,,10070,,,,,,,
11282,,1858351436,,,17607,,,,,,,
11342,,6858165700,,,11909,,,,,,,
11402,,9863782496,,,19829,,,,,,,
11462,,8709600538,,,7121,,,,,,,
11522,,9427379275,,,5922,,,,,,,
11582,,3808196039,,,1780,,,,,,,
11642,,4158210681,,,1243,,,,,,,
11702,,0873391270,,,4553,,,,,,,
11762,,9284822022,,,16536,,,,,,,
11822,,4258739801,,,2992,,,,,,,
11882,,2587194514,,,5635,,,,,,,
11942,,8142427195,,,1126,,,,,,,
12002,,4653304701,,,19748,,,,,,,
12062,,0449756961,,,16572,,,,,,,
12122,,5388762124,,,17163,,,,,,,
12182,,0208378169,,,8371,,,,,,,
12242,,8900315565,,,19295,,,,,,,
12302,,0247424943,,,14914,,,,,,,
12362,,8175208837,,,6824,,,,,,,
12422,,5462681746,,,20112,,,,,,,
12482,,6870566870,,,17410,,,,,,,
12542,,3089175333,,,10527,,,,,,,
12602,,4976785604,,,17639,,,,,,,
12662,,5829454975,,,12691,,,,,,,
12722,,1188218580,,,15545,,,,,,,
12782,,6375539440,,,10221,,,,,,,
12842,,7431088004,,,20138,,,,,,,
12902,,4440031631,,,12743,,,,,,,
12962,,4179999411,,,11375,,,,,,,
13022,,1782610566,,,12053,,,,,,,
13082,,7953397886,,,7680,,,,,,,
13142,,8513254890,,,8480,,,,,,,
13202,,3447019869,,,16278,,,,,,,
13262,,7749970530,,,16464,,,,,,,
13322,,3169821823,,,12190,,,,,,,
13382,,2974212199,,,6931,,,,,,,
13442,,8318510035,,,9521,,,,,,,
13502,,0839595935,,,17261,,,,,,,
13562,,6900671127,,,19016,,,,,,,
13622,,9980724304,,,2175,,,,,,,
13682,,4844411506,,,2050,,,,,,,
13742,,6951249808,,,9753,,,,,,,
13802,,9140254835,,,13996,,,,,,,
13862,,1277278187,,,5943,,,,,,,
13922,,7617908714,,,11651,,,,,,,
13982,,2406475470,,,4826,,,,,,,
14042,,1333242632,,,10794,,,,,,,
14102,,7948900990,,,11724,,,,,,,
14162,,1502621025,,,18669,,,,,,,
14222,,8950652968,,,3237,,,,,,,
14282,,4152863726,,,13197,,,,,,,
14342,,1620328967,,,15505,,,,,,,
14402,,0890449733,,,10388,,,,,,,
14462,,1193872989,,,3896,,,,,,,
14522,,4774846720,,,15386,,,,,,,
14582,,5497907728,,,15175,,,,,,,
14642,,3935868253,,,4971,,,,,,,
14702,,3083902044,,,17024,,,,,,,
14762,,4856439910,,,10166,,,,,,,
14822,,7531047564,,,18633,,,,,,,
14882,,2481160072,,,7066,,,,,,,
14942,,8495965682,,,7605,,,,,,,
15002,,0797567438,,,533,,,,,,,
15062,,1446356988,,,1975,,,,,,,
15122,,9884720593,,,8148,,,,,,,
15182,,3331119419,,,13508,,,,,,,
15242,,8510233041,,,9462,,,,,,,
15302,,6011713154,,,18632,,,,,,,
15362,,6954916760,,,3636,,,,,,,
15422,,8050970322,,,19333,,,,,,,
15482,,4687079826,,,3546,,,,,,,
15542,,7742046749,,,7865,,,,,,,
15602,,8634017979,,,15329,,,,,,,
15662,,5882941454,,,13035,,,,,,,
15722,,8888352144,,,15232,,,,,,,
15782,,2678711765,,,10937,,,,,,,
15842,,3468479222,,,9474,,,,,,,
15902,,6425080441,,,19383,,,,,,,
15962,,5303625797,,,6020,,,,,,,
16022,,5111752750,,,6479,,,,,,,
16082,,7556284571,,,14965,,,,,,,
16142,,5015099386,,,6845,,,,,,,
16202,,6937672210,,,9214,,,,,,,
16262,,5284220457,,,1346,,,,,,,
16322,,3509455893,,,8652,,,,,,,
16382,,5489523259,,,20077,,,,,,,
16442,,3796293690,,,9299,,,,,,,
16502,,4567325173,,,10540,,,,,,,
16562,,3064981691,,,12642,,,,,,,
16622,,3267539964,,,14649,,,,,,,
16682,,4540148956,,,2379,,,,,,,
16742,,0934149055,,,7741,,,,,,,
16802,,2680786346,,,3009,,,,,,,
16862,,4983992667,,,12368,,,,,,,
16922,,7597622115,,,10018,,,,,,,
16982,,7434667841,,,7477,,,,,,,
17042,,2829853409,,,19829,,,,,,,
17102,,8204692326,,,13407,,,,,,,
17162,,2460073485,,,12648,,,,,,,
17222,,6155891439,,,6404,,,,,,,
17282,,2800320514,,,17128,,,,,,,
17342,,2552090093,,,10454,,,,,,,
17402,,7450501447,,,96,,,,,,,
17462,,7931069427,,,11547,,,,,,,
17522,,5435414638,,,15276,,,,,,,
17582,,4106894617,,,18833,,,,,,,
17642,,5288515945,,,14035,,,,,,,
17702,,8607146426,,,12007,,,,,,,
17762,,6562031296,,,19769,,,,,,,
17822,,8008067699,,,12200,,,,,,,
17882,,3237477156,,,16296,,,,,,,
17942,,4224129274,,,1590,,,,,,,
18002,,5598580569,,,4891,,,,,,,
18062,,6034283594,,,7663,,,,,,,
18122,,8088698893,,,14640,,,,,,,
18182,,9705353136,,,4543,,,,,,,
18242,,5667185110,,,1657,,,,,,,
18302,,3800296925,,,22627,,,,,,,
18362,,7712942141,,,15681,,,,,,,
18422,,8538219988,,,8524,,,,,,,
18482,,3670058135,,,9141,,,,,,,
18542,,6807145386,,,10013,,,,,,,
18602,,4919017839,,,10448,,,,,,,
18662,,8684293589,,,19013,,,,,,,
18722,,2149620485,,,12120,,,,,,,
18782,,3619344487,,,15862,,,,,,,
18842,,0941167656,,,11258,,,,,,,
18902,,2672393477,,,8339,,,,,,,
18962,,3411094985,,,2089,,,,,,,
19022,,7430473853,,,8905,,,,,,,
19082,,2702067249,,,964,,,,,,,
19142,,6235258875,,,9194,,,,,,,
19202,,1308137384,,,13397,,,,,,,
19262,,5446260527,,,698,,,,,,,
19322,,4826815149,,,11211,,,,,,,
19382,,8477002059,,,5223,,,,,,,
19442,,1027579252,,,18381,,,,,,,
19502,,8874890761,,,9001,,,,,,,
19562,,6164097947,,,2162,,,,,,,
19622,,3895189610,,,12157,,,,,,,
19682,,9179937098,,,8713,,,,,,,
19742,,5270850153,,,4455,,,,,,,
19802,,9070096490,,,15603,,,,,,,
19862,,8573671433,,,544,,,,,,,
19922,,2786687353,,,14378,,,,,,,
19982,,0680952305,,,2945,,,,,,,
20042,,4844765549,,,7573,,,,,,,
20102,,5472415595,,,14714,,,,,,,
20162,,6204917675,,,18240,,,,,,,
20222,,0135914371,,,19437,,,,,,,
20282,,4654721713,,,14141,,,,,,,
20342,,3982006369,,,10833,,,,,,,
20402,,9799619321,,,16055,,,,,,,
20462,,0851498773,,,16657,,,,,,,
20522,,8108172229,,,2183,,,,,,,
20582,,9109647003,,,7202,,,,,,,
20642,,7630136607,,,18688,,,,,,,
20702,,5240612879,,,10421,,,,,,,
20762,,8411898039,,,3078,,,,,,,
20822,,3852320585,,,17830,,,,,,,
20882,,8998010981,,,12646,,,,,,,
20942,,8067551784,,,16254,,,,,,,
21002,,8858022726,,,9491,,,,,,,
21062,,9191680777,,,9080,,,,,,,
21122,,5780401190,,,19408,,,,,,,
21182,,5276750263,,,16928,,,,,,,
21242,,0422575753,,,1303,,,,,,,
21302,,5133924947,,,18268,,,,,,,
21362,,5686616355,,,7710,,,,,,,
21422,,2548403154,,,16413,,,,,,,
21482,,8853528196,,,11876,,,,,,,
21542,,6927756493,,,5531,,,,,,,
21602,,7751269348,,,20871,,,,,,,
21662,,7505951191,,,14874,,,,,,,
21722,,7046907123,,,12520,,,,,,,
21782,,6288839129,,,18723,,,,,,,
21842,,0891583446,,,12215,,,,,,,
21902,,9168666069,,,7226,,,,,,,
21962,,5924806723,,,7105,,,,,,,
22022,,2798206314,,,16075,,,,,,,
22082,,7800044611,,,12118,,,,,,,
22142,,3844442397,,,1537,,,,,,,
22202,,7058697667,,,15490,,,,,,,
22262,,4257261662,,,2180,,,,,,,
22322,,4834977739,,,3296,,,,,,,
22382,,7793645224,,,17270,,,,,,,
22442,,4106099216,,,15995,,,,,,,
22502,,2195444327,,,10790,,,,,,,
22562,,5516215672,,,12361,,,,,,,
22622,,8163386922,,,18351,,,,,,,
22682,,2587917597,,,10263,,,,,,,
22742,,5438672343,,,11280,,,,,,,
22802,,3083495424,,,2023,,,,,,,
22862,,6567217961,,,253,,,,,,,
22922,,0408042502,,,3640,,,,,,,
22982,,0564903612,,,8671,,,,,,,
23042,,4390960077,,,18538,,,,,,,
23102,,6336358909,,,20661,,,,,,,
23162,,2197412938,,,17923,,,,,,,
23222,,5598572700,,,20227,,,,,,,
23282,,2701813025,,,12218,,,,,,,
23342,,2981062677,,,11171,,,,,,,
23402,,4037377235,,,7068,,,,,,,
23462,,0127723469,,,8376,,,,,,,
23522,,1103891158,,,20166,,,,,,,
23582,,1863608910,,,6107,,,,,,,
23642,,8676520389,,,1555,,,,,,,
23702,,2353610141,,,14321,,,,,,,
23762,,1461575297,,,15806,,,,,,,
23822,,3845392714,,,20057,,,,,,,
23882,,1610889552,,,7912,,,,,,,
23942,,5913110247,,,2150,,,,,,,
24002,,4511280015,,,5594,,,,,,,
24062,,9763697250,,,19037,,,,,,,
24122,,4967907650,,,6066,,,,,,,
24182,,8492021871,,,19625,,,,,,,
24242,,5387903328,,,16871,,,,,,,
24302,,9664282346,,,6461,,,,,,,
24362,,9500172104,,,2896,,,,,,,
24422,,2719127290,,,1973,,,,,,,
24482,,2595171399,,,14642,,,,,,,
24542,,3922957384,,,8515,,,,,,,
24602,,6006924298,,,16399,,,,,,,
24662,,9240558444,,,2984,,,,,,,
24722,,0718705645,,,6156,,,,,,,
24782,,2939177962,,,20252,,,,,,,
24842,,3602782401,,,18184,,,,,,,
24902,,8491380455,,,13860,,,,,,,
24962,,3823649577,,,8181,,,,,,,
25022,,2030460328,,,13115,,,,,,,
25082,,2313587163,,,14640,,,,,,,
25142,,0052207969,,,14457,,,,,,,
25202,,9156076870,,,1022,,,,,,,
25262,,8228028196,,,2029,,,,,,,
25322,,9947330322,,,8687,,,,,,,
25382,,9502308628,,,19414,,,,,,,
25442,,7418016966,,,12157,,,,,,,
25502,,9152090106,,,19888,,,,,,,
25562,,3578446113,,,6865,,,,,,,
